,Genotype,Stage,Sample,DBLatype,Count,CountN
0,AA,Ring,AA01,DBLa0,10369.647999999996,80.54724897339545
1,AA,Ring,AA01,DBLpam,1031.0,8.008392733443868
2,AA,Ring,AA01,DBLa1,537.4280000000001,4.1745242385540955
3,AA,Ring,AA01,DBLa2,119.165,0.9256257226778262
4,AA,Ring,AA02,DBLa0,23884.122999999992,101.2382290606985
5,AA,Ring,AA02,DBLa1,2087.102999999999,8.846655645981684
6,AA,Ring,AA02,DBLpam,329.001,1.39454476093591
7,AA,Ring,AA02,DBLa2,289.62,1.2276195320447607
8,AA,Trophozoite,AA03,DBLa0,83619.89399999999,68.30797771533129
9,AA,Trophozoite,AA03,DBLa1,5857.36,4.784799372631027
10,AA,Trophozoite,AA03,DBLa2,2967.29,2.4239396810874383
11,AA,Trophozoite,AA03,DBLpam,140.999,0.11518020520193434
12,AA,Trophozoite,AA04,DBLa0,17464.493000000006,64.34489377957846
13,AA,Trophozoite,AA04,DBLa1,1177.5960000000002,4.338648109352872
14,AA,Trophozoite,AA04,DBLa2,230.966,0.8509541466044341
15,AA,Trophozoite,AA04,DBLpam,49.999,0.18421263898614992
16,AA,Ring,AA05,DBLa0,40634.88700000002,74.12960726322217
17,AA,Ring,AA05,DBLa1,3570.926,6.514386072884337
18,AA,Ring,AA05,DBLpam,2360.252,4.305771880262263
19,AA,Ring,AA05,DBLa2,642.3470000000001,1.1718238772685392
20,AA,Mixed,AA06,DBLa0,9467.895000000006,40.95109762745277
21,AA,Mixed,AA06,DBLpam,1795.0,7.763839823031167
22,AA,Mixed,AA06,DBLa1,1086.0209999999993,4.697322054845753
23,AA,Mixed,AA06,DBLa2,121.06700000000002,0.5236461258244649
24,AA,Ring,AA07,DBLa0,9613.495000000004,53.26036306151599
25,AA,Ring,AA07,DBLa1,3546.1980000000003,19.64652740423975
26,AA,Ring,AA07,DBLa2,947.8100000000001,5.251025221663449
27,AA,Ring,AA07,DBLpam,841.0000000000001,4.659280036525212
28,AA,Trophozoite,AA08,DBLa0,23829.012000000013,51.22645143527832
29,AA,Trophozoite,AA08,DBLa1,10835.743999999999,23.29415561925556
30,AA,Trophozoite,AA08,DBLa2,2890.669,6.214219672387779
31,AA,Trophozoite,AA08,DBLpam,266.99999999999994,0.5739836185075278
32,AA,Ring,AA09,DBLa0,16811.486999999997,80.67706980886217
33,AA,Ring,AA09,DBLpam,761.0,3.6519821312977325
34,AA,Ring,AA09,DBLa1,566.9440000000002,2.7207218888915405
35,AA,Ring,AA09,DBLa2,265.546,1.2743354100362516
36,AA,Ring,AA10,DBLa0,6256.975000000003,98.02558420003633
37,AA,Ring,AA10,DBLpam,231.0,3.618986802761459
38,AA,Ring,AA10,DBLa1,177.323,2.7780502027102605
39,AA,Ring,AA10,DBLa2,17.699,0.27728332217348517
40,AA,Ring,AA11,DBLa0,13582.683000000006,39.79572885148104
41,AA,Ring,AA11,DBLpam,2639.001,7.731975209521365
42,AA,Ring,AA11,DBLa1,2293.749000000001,6.720425799332561
43,AA,Ring,AA11,DBLa2,323.02400000000006,0.9464238778539416
44,AA,Mixed,AA12,DBLa0,54138.33900000001,79.01562225018588
45,AA,Mixed,AA12,DBLa1,1037.7290000000005,1.514579209053
46,AA,Mixed,AA12,DBLa2,788.412,1.1506977480323797
47,AA,Mixed,AA12,DBLpam,79.0,0.11530154550483503
48,AA,Ring,AA13,DBLa0,966.8399999999998,56.342723010166665
49,AA,Ring,AA13,DBLpam,622.9999999999999,36.30540361935152
50,AA,Ring,AA13,DBLa1,68.76899999999999,4.007522153289222
51,AA,Ring,AA13,DBLa2,18.387,1.0715047453435258
52,AA,Ring,AA14,DBLa0,10704.903000000002,43.287111068050535
53,AA,Ring,AA14,DBLa1,6634.000999999999,26.825720710646163
54,AA,Ring,AA14,DBLpam,3023.002,12.224027002667736
55,AA,Ring,AA14,DBLa2,981.389,3.968414720242027
56,AA,Trophozoite,AA15,DBLa0,2379.203999999999,49.16725580341892
57,AA,Trophozoite,AA15,DBLa1,1042.1169999999997,21.535788068653012
58,AA,Trophozoite,AA15,DBLa2,117.73699999999998,2.433084845405075
59,AA,Trophozoite,AA15,DBLpam,35.0,0.7232897864662564
60,AA,Trophozoite,AA16,DBLa0,98659.13600000003,68.62528487724411
61,AA,Trophozoite,AA16,DBLa2,2010.1369999999997,1.39821034179023
62,AA,Trophozoite,AA16,DBLa1,1110.752,0.772616460253297
63,AA,Trophozoite,AA16,DBLpam,397.00100000000003,0.27614580692811647
64,AS,Mixed,AS01,DBLa0,16897.965000000004,94.88977253698542
65,AS,Mixed,AS01,DBLpam,8127.001000000001,45.636813444568794
66,AS,Mixed,AS01,DBLa1,984.616,5.5290674513928995
67,AS,Mixed,AS01,DBLa2,101.50999999999998,0.5700249000533133
68,AS,Ring,AS02,DBLa0,24836.946,85.13092322642413
69,AS,Ring,AS02,DBLa1,4122.21,14.129254983007886
70,AS,Ring,AS02,DBLpam,1681.999,5.7652067100327935
71,AS,Ring,AS02,DBLa2,953.7069999999999,3.268918706732433
72,AS,Mixed,AS03,DBLa0,26339.755999999998,66.60704008544396
73,AS,Mixed,AS03,DBLa1,5862.876000000004,14.825832735428058
74,AS,Mixed,AS03,DBLpam,1436.0149999999999,3.631343762952808
75,AS,Mixed,AS03,DBLa2,817.696,2.0677606219931266
76,AS,Ring,AS04,DBLa0,17353.338,41.89097887748942
77,AS,Ring,AS04,DBLa1,7470.281000000002,18.03326735063367
78,AS,Ring,AS04,DBLpam,3001.0,7.244417622208807
79,AS,Ring,AS04,DBLa2,336.53099999999995,0.8123862401931196
80,AS,Ring,AS05,DBLa0,23589.442000000017,34.961306003883045
81,AS,Ring,AS05,DBLa1,9257.93,13.720940227943023
82,AS,Ring,AS05,DBLpam,3211.0,4.758940613282348
83,AS,Ring,AS05,DBLa2,1400.693,2.0759311131860145
84,AS,Trophozoite,AS06,DBLa0,9612.375999999995,79.95655963343191
85,AS,Trophozoite,AS06,DBLa1,585.9669999999998,4.874123253056601
86,AS,Trophozoite,AS06,DBLa2,279.26099999999997,2.3229167065241563
87,AS,Trophozoite,AS06,DBLpam,22.000999999999998,0.1830061858270147
88,AS,Ring,AS07,DBLa0,18043.287000000004,79.640193421559
89,AS,Ring,AS07,DBLpam,1198.0,5.287781085509955
90,AS,Ring,AS07,DBLa1,1074.395,4.742208313327603
91,AS,Ring,AS07,DBLa2,661.1730000000001,2.9183122568028996
92,AS,Trophozoite,AS08,DBLa0,4554.682000000005,23.39333213182684
93,AS,Trophozoite,AS08,DBLa2,2005.131,10.298566497248771
94,AS,Trophozoite,AS08,DBLa1,1885.1899999999998,9.682536739469096
95,AS,Trophozoite,AS08,DBLpam,8.0,0.041088852537809334
96,AS,Ring,AS09,DBLa0,2743.8970000000004,66.02248217277948
97,AS,Ring,AS09,DBLa1,258.541,6.220903540997557
98,AS,Ring,AS09,DBLpam,191.0,4.5957607355527115
99,AS,Ring,AS09,DBLa2,79.595,1.9151810248498324
100,AS,Trophozoite,AS10,DBLa0,28796.68200000001,56.307308453363724
101,AS,Trophozoite,AS10,DBLa1,5213.107000000001,10.193397414653171
102,AS,Trophozoite,AS10,DBLa2,338.93000000000006,0.6627234364743327
103,AS,Trophozoite,AS10,DBLpam,28.000999999999998,0.0547514794934582
104,AS,Ring,AS11,DBLa0,3124.0660000000034,46.893808631971126
105,AS,Ring,AS11,DBLa1,1858.641,27.89914021327826
106,AS,Ring,AS11,DBLpam,420.7559999999999,6.315760084695271
107,AS,Ring,AS11,DBLa2,144.812,2.173701264830191
108,AS,Trophozoite,AS12,DBLa0,45480.03499999997,74.49881363023867
109,AS,Trophozoite,AS12,DBLa1,4225.239000000001,6.921175254245436
110,AS,Trophozoite,AS12,DBLa2,1875.476,3.072133453546938
111,AS,Trophozoite,AS12,DBLpam,139.999,0.22932610780576115
112,AS,Trophozoite,AS13,DBLa0,21943.381999999998,75.32916242075694
113,AS,Trophozoite,AS13,DBLa2,685.2370000000001,2.3523415519864823
114,AS,Trophozoite,AS13,DBLa1,478.2529999999999,1.6417887596002414
115,AS,Trophozoite,AS13,DBLpam,280.99899999999997,0.9646379628751065
116,AS,Ring,AS14,DBLa0,9536.596,45.96836681312546
117,AS,Ring,AS14,DBLpam,4518.999,21.78251062120563
118,AS,Ring,AS14,DBLa1,3276.9139999999993,15.795403807298344
119,AS,Ring,AS14,DBLa2,826.9459999999999,3.9860508993614543
120,AS,Trophozoite,AS15,DBLa0,22376.726999999988,41.1064872714102
121,AS,Trophozoite,AS15,DBLa1,6030.461,11.078075374349243
122,AS,Trophozoite,AS15,DBLa2,436.03099999999995,0.800997516367799
123,AS,Trophozoite,AS15,DBLpam,66.0,0.12124329710565246
124,AS,Trophozoite,AS16,DBLa0,124830.48500000004,62.7695761295556
125,AS,Trophozoite,AS16,DBLa1,6217.278999999999,3.126287360889346
126,AS,Trophozoite,AS16,DBLa2,2683.0499999999997,1.3491408868146597
127,AS,Trophozoite,AS16,DBLpam,68.001,0.03419352209026432
